epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,6110.44,1.01704,2.31718,1.46462,0.3961,0.07913,0.07087,0.05171,1.11272,2.91576,1.71843,7.1907e-06,7.1907e-06,7.1907e-06
81,6185.36,1.02039,2.30637,1.46807,0.41139,0.07876,0.07224,0.05264,1.11319,2.90911,1.71806,6.864e-06,6.864e-06,6.864e-06
82,6260.73,1.00294,2.29495,1.45209,0.40723,0.08022,0.07175,0.05233,1.11324,2.90447,1.71529,6.5373e-06,6.5373e-06,6.5373e-06
83,6336.02,1.00896,2.3065,1.4624,0.39223,0.07977,0.07299,0.05348,1.11507,2.90635,1.71994,6.2106e-06,6.2106e-06,6.2106e-06
84,6416.16,1.00204,2.28951,1.45629,0.37618,0.08045,0.07245,0.05264,1.11559,2.91267,1.71886,5.8839e-06,5.8839e-06,5.8839e-06
85,6495.28,0.99881,2.29544,1.45053,0.38515,0.08096,0.0709,0.05207,1.11357,2.91129,1.71992,5.5572e-06,5.5572e-06,5.5572e-06
86,6574.58,0.9954,2.27616,1.45031,0.36233,0.08297,0.07153,0.05185,1.1157,2.92125,1.71951,5.2305e-06,5.2305e-06,5.2305e-06
87,6654.02,0.99789,2.2938,1.45016,0.37284,0.08343,0.07195,0.05276,1.11262,2.91066,1.71573,4.9038e-06,4.9038e-06,4.9038e-06
88,6733.16,1.00677,2.27301,1.46094,0.38101,0.08413,0.07137,0.05237,1.11213,2.91072,1.71442,4.5771e-06,4.5771e-06,4.5771e-06
89,6812.38,1.01213,2.29447,1.4609,0.37681,0.083,0.07121,0.05237,1.11204,2.92056,1.71723,4.2504e-06,4.2504e-06,4.2504e-06
90,6891.11,0.988,2.25195,1.44385,0.3973,0.08086,0.07017,0.05147,1.11009,2.9098,1.70919,3.9237e-06,3.9237e-06,3.9237e-06
91,6967.5,0.98099,2.54104,1.55993,0.35933,0.07816,0.06629,0.04759,1.11793,2.91019,1.70405,3.597e-06,3.597e-06,3.597e-06
92,7040.97,0.95658,2.4338,1.53861,0.38851,0.07493,0.06734,0.04874,1.11342,2.91454,1.70623,3.2703e-06,3.2703e-06,3.2703e-06
93,7114.32,0.94933,2.40277,1.53834,0.43399,0.06835,0.06841,0.0493,1.11312,2.91649,1.71061,2.9436e-06,2.9436e-06,2.9436e-06
94,7189.3,0.94058,2.38737,1.53541,0.4339,0.06831,0.06892,0.04982,1.11286,2.9123,1.71086,2.6169e-06,2.6169e-06,2.6169e-06
95,7263.33,0.94461,2.35656,1.52606,0.40909,0.06977,0.06908,0.04992,1.11501,2.91782,1.71292,2.2902e-06,2.2902e-06,2.2902e-06
96,7338.14,0.93797,2.33816,1.52192,0.41356,0.0699,0.06941,0.05018,1.11409,2.91482,1.71021,1.9635e-06,1.9635e-06,1.9635e-06
97,7412.59,0.9251,2.33872,1.52695,0.43681,0.06635,0.06961,0.05038,1.11191,2.91052,1.70847,1.6368e-06,1.6368e-06,1.6368e-06
98,7486.71,0.93794,2.35668,1.52408,0.39881,0.07147,0.06968,0.05035,1.11189,2.91122,1.70785,1.3101e-06,1.3101e-06,1.3101e-06
99,7561.46,0.93622,2.3221,1.52624,0.43575,0.06598,0.07028,0.05073,1.11091,2.90899,1.70777,9.834e-07,9.834e-07,9.834e-07
100,7636.16,0.93433,2.34289,1.52134,0.43468,0.06721,0.07012,0.05081,1.11003,2.90653,1.70652,6.567e-07,6.567e-07,6.567e-07
